Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),ROC-AUC (%)
Logistic Regression,93.66666666666667,68.88888888888889,86.11111111111111,76.5432098765432,98.4743265993266
Random Forest,95.0,88.88888888888889,66.66666666666666,76.19047619047619,98.61111111111111
SVM,95.33333333333334,86.66666666666667,72.22222222222221,78.78787878787878,98.3270202020202
XGBoost,94.66666666666667,75.0,83.33333333333334,78.94736842105263,98.70580808080808
GNN,94.0,73.68421052631578,77.77777777777779,75.67567567567568,95.5597643097643
